Workflow,ChunkFunc,SLAM,StepConf
Cyclic,1.0,0.5727699530516431,0.6666666666666666
FaceDet,0.9389671361502346,0.7136150234741784,0.5962441314553991
High Resources - Low Resources,0.9906103286384976,0.3333333333333333,0.7511737089201879
Homogeneous,1.0,0.6901408450704225,0.39906103286384975
Long-Short,0.9671361502347419,0.6995305164319249,0.4788732394366197
Low Resources - High Resources,1.0,0.3333333333333333,0.7136150234741784
Random,1.0,0.6619718309859155,0.6713615023474179
Short-Long,1.0,0.7323943661971831,0.3333333333333333
Staircase,1.0,0.6150234741784038,0.6901408450704226
VidPro,0.7699530516431925,0.6666666666666666,0.5539906103286385
